suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
aruC	PP_0372	Q88QW2	Q88QW2_PSEPK	aruC	aruC PP_0372	Acetylornithine aminotransferase 2 (EC 2.6.1.11, EC 2.6.1.13)	unreviewed	2.0	2.6.1.11; 2.6.1.13	GO:0003992; GO:0004587; GO:0030170; GO:0042802	kegg:ppu00300	Lysine biosynthesis	true	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/aruC	PRESENT	genes/PSEPK/aruC/aruC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/aruC/aruC-deep-research-asta.md
PP_0664	PP_0664	Q88Q34	Q88Q34_PSEPK	PP_0664	PP_0664	homoserine dehydrogenase (EC 1.1.1.3)	unreviewed	2.0	1.1.1.3	GO:0004412; GO:0009088	kegg:ppu00300	Lysine biosynthesis	true	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/PP_0664	PRESENT	genes/PSEPK/PP_0664/PP_0664-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0664/PP_0664-deep-research-asta.md
dapA__Q88NH2	PP_1237	Q88NH2	Q88NH2_PSEPK	dapA	dapA dapA-I PP_1237	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	unreviewed	3.0	4.3.3.7	GO:0005829; GO:0008840; GO:0009089; GO:0019877	kegg:ppu00261	Monobactam biosynthesis	false	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/dapA__Q88NH2	PRESENT	genes/PSEPK/dapA__Q88NH2/dapA__Q88NH2-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/dapA__Q88NH2/dapA__Q88NH2-deep-research-asta.md
murE	PP_1332	Q88N81	MURE_PSEPK	murE	murE PP_1332	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	reviewed	4.0	6.3.2.13	GO:0000287; GO:0005524; GO:0005737; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555	kegg:ppu00300	Lysine biosynthesis	true	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/murE	PRESENT	genes/PSEPK/murE/murE-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/murE/murE-deep-research-asta.md
murF	PP_1333	Q88N80	Q88N80_PSEPK	murF	murF PP_1333	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme)	unreviewed	3.0	6.3.2.10	GO:0005524; GO:0005737; GO:0008360; GO:0008766; GO:0009252; GO:0047480; GO:0051301; GO:0071555	kegg:ppu01502	Vancomycin resistance	false	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/murF	PRESENT	genes/PSEPK/murF/murF-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/murF/murF-deep-research-asta.md
hom	PP_1470	Q88MU8	Q88MU8_PSEPK	hom	hom PP_1470	Homoserine dehydrogenase (EC 1.1.1.3)	unreviewed	2.0	1.1.1.3	GO:0004412; GO:0009086; GO:0009088; GO:0050661	kegg:ppu00300	Lysine biosynthesis	true	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/hom	PRESENT	genes/PSEPK/hom/hom-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hom/hom-deep-research-asta.md
dapE	PP_1525	Q88MP5	DAPE_PSEPK	dapE	dapE PP_1525 PP1525	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	reviewed	3.0	3.5.1.18	GO:0006526; GO:0008270; GO:0008777; GO:0009014; GO:0009089; GO:0019877; GO:0050897	kegg:ppu00300	Lysine biosynthesis	true	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/dapE	PRESENT	genes/PSEPK/dapE/dapE-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/dapE/dapE-deep-research-asta.md
dapD	PP_1530	Q88MP1	DAPD_PSEPK	dapD	dapD PP_1530	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	reviewed	3.0	2.3.1.117	GO:0000287; GO:0005737; GO:0008666; GO:0009089; GO:0019877	kegg:ppu00300	Lysine biosynthesis	true	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/dapD	PRESENT	genes/PSEPK/dapD/dapD-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/dapD/dapD-deep-research-asta.md
dapC	PP_1588	Q88MI3	Q88MI3_PSEPK	dapC	dapC PP_1588	N-succinyl-L,L-diaminopimelate aminotransferase alternative (EC 2.6.1.17)	unreviewed	1.0	2.6.1.17	GO:0009016; GO:0009089; GO:0030170	kegg:ppu00300	Lysine biosynthesis	true	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/dapC	PRESENT	genes/PSEPK/dapC/dapC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/dapC/dapC-deep-research-asta.md
asd__Q88LE4	PP_1989	Q88LE4	Q88LE4_PSEPK	asd	asd PP_1989	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	unreviewed	4.0	1.2.1.11	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266	kegg:ppu00261	Monobactam biosynthesis	false	KEGG	ppu00300	Lysine biosynthesis	genes/PSEPK/asd__Q88LE4	PRESENT	genes/PSEPK/asd__Q88LE4/asd__Q88LE4-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/asd__Q88LE4/asd__Q88LE4-deep-research-asta.md
