readout_class	matched_string	papers
UPR_ER_STRESS	xbp1s	369
UPR_ER_STRESS	xbp1 splic	151
UPR_ER_STRESS	upre	45
UPR_ER_STRESS	chop promoter	25
UPR_ER_STRESS	atf4 reporter	24
UPR_ER_STRESS	erse	20
UPR_ER_STRESS	erai	13
UPR_ER_STRESS	grp78-luciferase	12
UPR_ER_STRESS	grp78 promoter	6
UPR_ER_STRESS	bip promoter	5
UPR_ER_STRESS	chop reporter	1
OXIDATIVE_STRESS_ROS	mitosox	285
OXIDATIVE_STRESS_ROS	rogfp	177
OXIDATIVE_STRESS_ROS	dhe	175
OXIDATIVE_STRESS_ROS	h2dcfda	95
OXIDATIVE_STRESS_ROS	dcf	80
OXIDATIVE_STRESS_ROS	cellrox	46
OXIDATIVE_STRESS_ROS	amplex red	32
OXIDATIVE_STRESS_ROS	dihydroethidium	21
OXIDATIVE_STRESS_ROS	amplexred	3
APOPTOSIS_CASPASE	tunel	1489
APOPTOSIS_CASPASE	annexin v	807
APOPTOSIS_CASPASE	cleaved caspase	719
APOPTOSIS_CASPASE	devd	327
APOPTOSIS_CASPASE	caspase-3 activ	261
APOPTOSIS_CASPASE	parp cleav	150
APOPTOSIS_CASPASE	caspase-3 cleav	103
APOPTOSIS_CASPASE	caspase 3 activ	62
APOPTOSIS_CASPASE	caspase 3/7 activ	47
APOPTOSIS_CASPASE	caspase3 activ	44
APOPTOSIS_CASPASE	caspase-3/7 activ	42
APOPTOSIS_CASPASE	annexinv	33
APOPTOSIS_CASPASE	caspase 3 cleav	18
APOPTOSIS_CASPASE	caspase-3/7 assay	13
APOPTOSIS_CASPASE	"caspase-3 
activ"	9
APOPTOSIS_CASPASE	cellevent	6
APOPTOSIS_CASPASE	caspase-3 assay	6
APOPTOSIS_CASPASE	caspase 3/7 cleav	5
APOPTOSIS_CASPASE	"caspase 3 
activ"	4
APOPTOSIS_CASPASE	"caspase-3
cleav"	3
APOPTOSIS_CASPASE	caspase3 cleav	3
APOPTOSIS_CASPASE	"caspase-3 
cleav"	3
APOPTOSIS_CASPASE	caspase 3/7 assay	3
APOPTOSIS_CASPASE	"cleaved
caspase"	3
APOPTOSIS_CASPASE	caspase-3/7 cleav	1
APOPTOSIS_CASPASE	caspase 3 assay	1
APOPTOSIS_CASPASE	"caspase-3
  activ"	1
APOPTOSIS_CASPASE	"parp 
cleav"	1
APOPTOSIS_CASPASE	"caspase 3 
cleav"	1
AUTOPHAGY_FLUX	gfp-lc3	1959
AUTOPHAGY_FLUX	lc3-ii	1301
AUTOPHAGY_FLUX	autophagic flux	892
AUTOPHAGY_FLUX	autophagy flux	329
AUTOPHAGY_FLUX	lc3ii	201
AUTOPHAGY_FLUX	mcherry-gfp-lc3	132
AUTOPHAGY_FLUX	p62/sqstm1	125
AUTOPHAGY_FLUX	lc3 ii	81
AUTOPHAGY_FLUX	"autophagic 
flux"	4
AUTOPHAGY_FLUX	gfplc3	2
AUTOPHAGY_FLUX	autophagic flux	2
MITO_MEMBRANE_POTENTIAL	mitotracker	666
MITO_MEMBRANE_POTENTIAL	mitochondrial membrane potential	500
MITO_MEMBRANE_POTENTIAL	tmrm	242
MITO_MEMBRANE_POTENTIAL	jc-1	193
MITO_MEMBRANE_POTENTIAL	tmre	50
MITO_MEMBRANE_POTENTIAL	"mitochondrial membrane 
potential"	3
MITO_MEMBRANE_POTENTIAL	"mitochondrial 
membrane potential"	2
CALCIUM_FLUX	gcamp	164
CALCIUM_FLUX	fura-2	149
CALCIUM_FLUX	ca2+ imaging	119
CALCIUM_FLUX	ca2+ flux	114
CALCIUM_FLUX	ca2+ transient	108
CALCIUM_FLUX	calcium imaging	41
CALCIUM_FLUX	fluo-4	37
CALCIUM_FLUX	fluo4	31
CALCIUM_FLUX	fura2	17
CALCIUM_FLUX	ca2+ imaging	4
pH_PROBE	phluorin	46
pH_PROBE	phrodo	40
pH_PROBE	snarf	37
pH_PROBE	bcecf	10
IRON_PROBE	calcein-am	23
IRON_PROBE	calcein quench	18
IRON_PROBE	labile iron	9
TRANSCRIPTIONAL_REPORTER	luciferase reporter	2655
TRANSCRIPTIONAL_REPORTER	luciferase activity	2476
TRANSCRIPTIONAL_REPORTER	luciferase assay	1343
TRANSCRIPTIONAL_REPORTER	reporter assay	874
TRANSCRIPTIONAL_REPORTER	nf-κb reporter	122
TRANSCRIPTIONAL_REPORTER	promoter reporter	98
TRANSCRIPTIONAL_REPORTER	promoter-reporter	76
TRANSCRIPTIONAL_REPORTER	nf-κb luciferase	68
TRANSCRIPTIONAL_REPORTER	are-luciferase	57
TRANSCRIPTIONAL_REPORTER	sre luciferase	41
TRANSCRIPTIONAL_REPORTER	sre-luciferase	39
TRANSCRIPTIONAL_REPORTER	nf-κb-luciferase	29
TRANSCRIPTIONAL_REPORTER	sre reporter	27
TRANSCRIPTIONAL_REPORTER	cre reporter	21
TRANSCRIPTIONAL_REPORTER	are reporter	9
TRANSCRIPTIONAL_REPORTER	"luciferase 
reporter"	8
TRANSCRIPTIONAL_REPORTER	nfκb luciferase	6
TRANSCRIPTIONAL_REPORTER	"reporter 
assay"	4
TRANSCRIPTIONAL_REPORTER	"luciferase 
activity"	4
TRANSCRIPTIONAL_REPORTER	are-reporter	4
TRANSCRIPTIONAL_REPORTER	nf-kb luciferase	4
TRANSCRIPTIONAL_REPORTER	cre luciferase	3
