component	exemplar	taxon	fwd_hit	fwd_evalue	rev_hit	reciprocal
Septal cell-wall amidases (AmiC family)	A0ACD7S2F2	63737	B2J2S4	2.3e-272	A0ACD7S2F2	True
Septal cell-wall amidases (AmiC family)	A0ACD7S1M0	63737	B2J2S3	2.8e-246	A0ACD7S1M0	True
SepN plug	A0ACD7RWW5	63737	B2IXD4	5.8e-127	A0ACD7RWW5	True
FraD membrane/periplasmic anchor	P46079	63737	B2IXC8	7.4e-165	P46079	True
SepJ (FraG) septal protein	A0ACD7RSI0	63737	B2J1N1	2.3e-214	A0ACD7RSI0	True
FraC septal integral-membrane protein	P46078	63737	B2IXC9	3.7e-64	P46078	True
FraE (fraCDE operon)	A0ACD7RSN5	63737	B2IXC7	5.9e-119	A0ACD7RSN5	True
Septal cell-wall amidases (AmiC family)	A0ACD7S2F2	240292	Q3MD47	0.0e+00	A0ACD7S2F2	True
Septal cell-wall amidases (AmiC family)	A0ACD7S1M0	240292	Q3MD48	0.0e+00	A0ACD7S1M0	True
SepN plug	A0ACD7RWW5	240292	Q3MF16	4.6e-151	A0ACD7RWW5	True
FraD membrane/periplasmic anchor	P46079	240292	Q3MGQ1	1.9e-233	P46079	True
SepJ (FraG) septal protein	A0ACD7RSI0	240292	Q3MGV3	0.0e+00	A0ACD7RSI0	True
FraC septal integral-membrane protein	P46078	240292	Q3MGQ2	9.8e-110	P46078	True
FraE (fraCDE operon)	A0ACD7RSN5	240292	Q3MGQ0	2.6e-152	A0ACD7RSN5	True
Septal cell-wall amidases (AmiC family)	A0ACD7S2F2	56107	K9X2S2	2.3e-293	A0ACD7S2F2	True
Septal cell-wall amidases (AmiC family)	A0ACD7S1M0	56107	K9X2S2	4.9e-246	A0ACD7S2F2	False
SepN plug	A0ACD7RWW5	56107	K9WXR0	9.3e-111	A0ACD7RWW5	True
FraD membrane/periplasmic anchor	P46079	56107	K9WUY7	7.9e-154	P46079	True
SepJ (FraG) septal protein	A0ACD7RSI0	56107	K9WRN1	1.7e-206	A0ACD7RSI0	True
FraC septal integral-membrane protein	P46078	56107	K9WTD1	8.5e-61	P46078	True
FraE (fraCDE operon)	A0ACD7RSN5	56107	K9WTV4	7.2e-109	A0ACD7RSN5	True
Septal cell-wall amidases (AmiC family)	A0ACD7S2F2	246409	-			False
Septal cell-wall amidases (AmiC family)	A0ACD7S1M0	246409	-			False
SepN plug	A0ACD7RWW5	246409	-			False
FraD membrane/periplasmic anchor	P46079	246409	-			False
SepJ (FraG) septal protein	A0ACD7RSI0	246409	I1C9Y1	1.1e-01		False
FraC septal integral-membrane protein	P46078	246409	-			False
FraE (fraCDE operon)	A0ACD7RSN5	246409	-			False
Septal cell-wall amidases (AmiC family)	A0ACD7S2F2	1111708	P73736	2.1e-117	A0ACD7S1M0	False
Septal cell-wall amidases (AmiC family)	A0ACD7S1M0	1111708	P73736	1.5e-126	A0ACD7S1M0	True
SepN plug	A0ACD7RWW5	1111708	-			False
FraD membrane/periplasmic anchor	P46079	1111708	-			False
SepJ (FraG) septal protein	A0ACD7RSI0	1111708	P72732	1.1e-47	A0ACD7RSI0	True
FraC septal integral-membrane protein	P46078	1111708	-			False
FraE (fraCDE operon)	A0ACD7RSN5	1111708	P74719	2.3e-78	A0ACD7RSN5	True
Septal cell-wall amidases (AmiC family)	A0ACD7S2F2	1140	Q31KM9	1.6e-88	A0ACD7S1M0	False
Septal cell-wall amidases (AmiC family)	A0ACD7S1M0	1140	Q31KM9	2.2e-99	A0ACD7S1M0	True
SepN plug	A0ACD7RWW5	1140	-			False
FraD membrane/periplasmic anchor	P46079	1140	-			False
SepJ (FraG) septal protein	A0ACD7RSI0	1140	Q31ND6	5.9e-03	Q8YZ99	False
FraC septal integral-membrane protein	P46078	1140	-			False
FraE (fraCDE operon)	A0ACD7RSN5	1140	-			False
