GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q05931	SSQ1	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000184706|FB:FBgn0001218|MGI:MGI:105384|MGI:MGI:95835|MGI:MGI:96244|MGI:MGI:96245|MGI:MGI:99517|PANTHER:PTN002321897|PomBase:SPAC22A12.15c|PomBase:SPAC664.11|PomBase:SPBC1709.05|PomBase:SPCC1739.13|RGD:1311806|RGD:1595925|RGD:2843|RGD:621725|SGD:S000000004|SGD:S000000171|SGD:S000000756|SGD:S000000905|SGD:S000001106|SGD:S000002388|SGD:S000003571|SGD:S000003806|SGD:S000003947|SGD:S000004361|TAIR:locus:2074984|TAIR:locus:2101222|TAIR:locus:2144801|TAIR:locus:2181818|TAIR:locus:2181833|UniProtKB:O73885|UniProtKB:P08106|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11021|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:P38646|UniProtKB:P54652|UniProtKB:Q0VDF9|UniProtKB:Q27975|UniProtKB:Q384Q5|UniProtKB:Q585X3|UniProtKB:Q6Z7B0|UniProtKB:Q8I2X4|UniProtKB:Q8IB24|UniProtKB:Q8II24|WB:WBGene00002005|WB:WBGene00002008|WB:WBGene00002010|WB:WBGene00002026|dictyBase:DDB_G0269144	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20250903
UniProtKB	Q05931	SSQ1	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96245|PANTHER:PTN000452554|PomBase:SPAC664.11|RGD:1311806|SGD:S000000756|SGD:S000003806|SGD:S000004361|TAIR:locus:2144801|UniProtKB:P38646|UniProtKB:Q585X3|UniProtKB:Q8II24|WB:WBGene00002010	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20250903
UniProtKB	Q05931	SSQ1	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0001218|MGI:MGI:105384|PANTHER:PTN000452648|PomBase:SPAC664.11|RGD:621725|SGD:S000000004|SGD:S000000171|SGD:S000002388|SGD:S000003571|SGD:S000003806|SGD:S000004361|SGD:S000005153|UniProtKB:P0A6Z1|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11021|UniProtKB:P17066|UniProtKB:P38646|UniProtKB:P77319|UniProtKB:Q57VR7|WB:WBGene00002005	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20250903
UniProtKB	Q05931	SSQ1	enables	GO:0031072	heat shock protein binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000452648|RGD:1311806|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:Q8IB24	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20250903
UniProtKB	Q05931	SSQ1	enables	GO:0044183	protein folding chaperone	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0266599|MGI:MGI:95835|MGI:MGI:96244|MGI:MGI:99517|PANTHER:PTN000452648|UniProtKB:P0A6Y8|UniProtKB:P0DMV8|UniProtKB:P0DMV9	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20250903
UniProtKB	Q05931	SSQ1	involved_in	GO:0016226	iron-sulfur cluster assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000196728|MGI:MGI:96245|PANTHER:PTN000452554|PomBase:SPAC664.11|SGD:S000004361|UniProtKB:P38646	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20250412
UniProtKB	Q05931	SSQ1	involved_in	GO:0042026	protein refolding	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000452648|SGD:S000000004|SGD:S000003806|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:P54652	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20221122
UniProtKB	Q05931	SSQ1	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20260105
UniProtKB	Q05931	SSQ1	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR013126|UniProtKB-KW:KW-0067	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20260105
UniProtKB	Q05931	SSQ1	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026962	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Iron-sulfur cluster biogenesis chaperone, mitochondrial	20260105
