GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O60216	RAD21	involved_in	GO:0007062	sister chromatid cohesion	biological_process	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT5G05490|AGI_LocusCode:AT5G16270|FB:FBgn0260987|PANTHER:PTN000286904|PomBase:SPBC29A10.14|PomBase:SPCC338.17c|SGD:S000002161|SGD:S000006211|WB:WBGene00004333|WB:WBGene00004737|ZFIN:ZDB-GENE-030131-994	9606	Homo sapiens	GO_Central	Double-strand-break repair protein rad21 homolog	20250903
UniProtKB	O60216	RAD21	part_of	GO:0030893	meiotic cohesin complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:3652039|PANTHER:PTN000286934	9606	Homo sapiens	GO_Central	Double-strand-break repair protein rad21 homolog	20240205
UniProtKB	O60216	RAD21	involved_in	GO:1990414	replication-born double-strand break repair via sister chromatid exchange	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000286904|SGD:S000002161	9606	Homo sapiens	GO_Central	Double-strand-break repair protein rad21 homolog	20200717
UniProtKB	O60216	RAD21	enables	GO:0003682	chromatin binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000286904|SGD:S000002161|SGD:S000006211	9606	Homo sapiens	GO_Central	Double-strand-break repair protein rad21 homolog	20170228
UniProtKB	O60216	RAD21	located_in	GO:0000775	chromosome, centromeric region	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q61550|ensembl:ENSMUSP00000022927|UniProtKB-SubCell:SL-0047	9606	Homo sapiens	UniProt	Double-strand-break repair protein rad21 homolog	20260727
UniProtKB	O60216	RAD21	located_in	GO:0000922	spindle pole	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0448	9606	Homo sapiens	UniProt	Double-strand-break repair protein rad21 homolog	20260727
UniProtKB	O60216	RAD21	located_in	GO:0005634	nucleus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:F7EK71|ensembl:ENSRNOP00000006209|UniProtKB:Q61550|ensembl:ENSMUSP00000022927|UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Double-strand-break repair protein rad21 homolog	20260727
UniProtKB	O60216	RAD21	located_in	GO:0005694	chromosome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0468	9606	Homo sapiens	UniProt	Double-strand-break repair protein rad21 homolog	20260727
UniProtKB	O60216	RAD21	located_in	GO:0005829	cytosol	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0091	9606	Homo sapiens	UniProt	Double-strand-break repair protein rad21 homolog	20260727
UniProtKB	O60216	RAD21	involved_in	GO:0007062	sister chromatid cohesion	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039781	9606	Homo sapiens	InterPro	Double-strand-break repair protein rad21 homolog	20260727
