GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P63017	Hspa8	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96243|PANTHER:PTN002500132|PomBase:SPAC13G7.02c|PomBase:SPCC1739.13|SGD:S000000004|SGD:S000000905|UniProtKB:O73885|UniProtKB:P08106|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:P48741|UniProtKB:Q5KKP4|WB:WBGene00002005	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20250903
UniProtKB	P63017	Hspa8	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000184706|FB:FBgn0001218|MGI:MGI:105384|MGI:MGI:95835|MGI:MGI:96244|MGI:MGI:96245|MGI:MGI:99517|PANTHER:PTN002321897|PomBase:SPAC22A12.15c|PomBase:SPAC664.11|PomBase:SPBC1709.05|PomBase:SPCC1739.13|RGD:1311806|RGD:1595925|RGD:2843|RGD:621725|SGD:S000000004|SGD:S000000171|SGD:S000000756|SGD:S000000905|SGD:S000001106|SGD:S000002388|SGD:S000003571|SGD:S000003806|SGD:S000003947|SGD:S000004361|TAIR:locus:2074984|TAIR:locus:2101222|TAIR:locus:2144801|TAIR:locus:2181818|TAIR:locus:2181833|UniProtKB:O73885|UniProtKB:P08106|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11021|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:P38646|UniProtKB:P54652|UniProtKB:Q0VDF9|UniProtKB:Q27975|UniProtKB:Q384Q5|UniProtKB:Q585X3|UniProtKB:Q6Z7B0|UniProtKB:Q8I2X4|UniProtKB:Q8IB24|UniProtKB:Q8II24|WB:WBGene00002005|WB:WBGene00002008|WB:WBGene00002010|WB:WBGene00002026|dictyBase:DDB_G0269144	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20250903
UniProtKB	P63017	Hspa8	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000184706|CGD:CAL0000184853|CGD:CAL0000194973|MGI:MGI:105384|MGI:MGI:96243|PANTHER:PTN002500132|RGD:1593284	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20250903
UniProtKB	P63017	Hspa8	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0001218|MGI:MGI:105384|PANTHER:PTN000452648|PomBase:SPAC664.11|RGD:621725|SGD:S000000004|SGD:S000000171|SGD:S000002388|SGD:S000003571|SGD:S000003806|SGD:S000004361|SGD:S000005153|UniProtKB:P0A6Z1|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11021|UniProtKB:P17066|UniProtKB:P38646|UniProtKB:P77319|UniProtKB:Q57VR7|WB:WBGene00002005	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20250903
UniProtKB	P63017	Hspa8	enables	GO:0031072	heat shock protein binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000452648|RGD:1311806|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:Q8IB24	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20250903
UniProtKB	P63017	Hspa8	enables	GO:0044183	protein folding chaperone	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0266599|MGI:MGI:95835|MGI:MGI:96244|MGI:MGI:99517|PANTHER:PTN000452648|UniProtKB:P0A6Y8|UniProtKB:P0DMV8|UniProtKB:P0DMV9	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20250903
UniProtKB	P63017	Hspa8	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000184706|MGI:MGI:105384|PANTHER:PTN002500132|PomBase:SPBC1709.05|SGD:S000000171|SGD:S000003947|UniProtKB:P08106|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:P54652|UniProtKB:Q0VDF9|WB:WBGene00002005|WB:WBGene00002026	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20241120
UniProtKB	P63017	Hspa8	involved_in	GO:0072318	clathrin coat disassembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:105384|PANTHER:PTN008570389|RGD:621725|UniProtKB:A2Q0Z1|UniProtKB:O73885|UniProtKB:P11142|UniProtKB:P19120	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20241120
UniProtKB	P63017	Hspa8	involved_in	GO:0042026	protein refolding	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000452648|SGD:S000000004|SGD:S000003806|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:P54652	10090	Mus musculus	GO_Central	Heat shock cognate 71 kDa protein	20221122
UniProtKB	P63017	Hspa8	involved_in	GO:0007165	signal transduction	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0048018	10090	Mus musculus	GOC	Heat shock cognate 71 kDa protein	20260106
UniProtKB	P63017	Hspa8	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR013126|UniProtKB-KW:KW-0067	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	part_of	GO:0005681	spliceosomal complex	cellular_component	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0747	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	located_in	GO:0005730	nucleolus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0188	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	located_in	GO:0005765	lysosomal membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P63018|ensembl:ENSRNOP00000042159|UniProtKB-SubCell:SL-0157	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	involved_in	GO:0006397	mRNA processing	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0507	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	involved_in	GO:0006457	protein folding	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027200	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	involved_in	GO:0006914	autophagy	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027757|UniProtKB-KW:KW-0072	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	enables	GO:0008289	lipid binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027537	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	involved_in	GO:0008380	RNA splicing	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0508	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00043426|UniProtKB:P63018|ensembl:ENSRNOP00000042159|InterPro:IPR013126	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	located_in	GO:0042470	melanosome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0161	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
UniProtKB	P63017	Hspa8	enables	GO:0043168	anion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026944	10090	Mus musculus	UniProt	Heat shock cognate 71 kDa protein	20260105
